list-none-none,1,10,1,30,66277,2209
list-none-none,1,100,1,300,112227,374
list-none-none,1,1000,1,3000,2786052,928
list-none-none,1,10000,1,30000,268828311,8960
list-none-none,1,20000,1,60000,1077713981,17961
list-none-none,2,1,1,6,113818,18969
list-none-none,2,10,1,60,78182,1303
list-none-none,2,1000,1,6000,5070393,845
list-none-none,4,1,1,12,136270,11355
list-none-none,8,1,1,24,255256,10635
list-none-none,8,10,1,240,264056,1100
list-none-none,12,1,1,36,427867,11885
list-none-none,12,10,1,360,442348,1228
list-i-none,2,1,1,6,107155,17859
list-i-none,2,2,1,12,105889,8824
list-i-none,2,4,1,24,105100,4379
list-i-none,2,8,1,48,110180,2295
list-i-none,4,1,1,12,126049,10504
list-i-none,4,2,1,24,155373,6473
list-i-none,4,4,1,48,128459,2676
list-i-none,4,8,1,96,148101,1542
list-i-none,8,2,1,48,333365,6945
list-i-none,8,4,1,96,252108,2626
list-i-none,12,1,1,36,405662,11268
list-i-none,12,2,1,72,393633,5467
list-i-none,12,4,1,144,349052,2423
list-i-none,12,8,1,288,385752,1339
list-d-none,2,1,1,6,89395,14899
list-d-none,2,2,1,12,112442,9370
list-d-none,2,8,1,48,108951,2269
list-d-none,2,16,1,96,114818,1196
list-d-none,2,32,1,192,112389,585
list-d-none,4,1,1,12,129962,10830
list-d-none,4,2,1,24,129110,5379
list-d-none,4,4,1,48,139520,2906
list-d-none,4,8,1,96,134489,1400
list-d-none,8,1,1,24,233367,9723
list-d-none,8,2,1,48,261137,5440
list-d-none,8,4,1,96,253242,2637
list-d-none,8,8,1,192,270588,1409
list-d-none,8,16,1,384,276520,720
list-d-none,12,1,1,36,377651,10490
list-d-none,12,2,1,72,374624,5203
list-d-none,12,4,1,144,345316,2398
list-d-none,12,16,1,576,391646,679
list-il-none,2,1,1,6,88483,14747
list-il-none,2,2,1,12,91570,7630
list-il-none,2,8,1,48,110201,2295
list-il-none,2,16,1,96,106549,1109
list-il-none,4,1,1,12,132659,11054
list-il-none,4,2,1,24,138957,5789
list-il-none,4,16,1,192,163969,854
list-il-none,8,1,1,24,240665,10027
list-il-none,8,4,1,96,234850,2446
list-il-none,8,8,1,192,279288,1454
list-il-none,12,1,1,36,331014,9194
list-il-none,12,2,1,72,348766,4843
list-il-none,12,8,1,288,418280,1452
list-il-none,12,16,1,576,410997,713
list-dl-none,2,1,1,6,87028,14504
list-dl-none,2,2,1,12,109698,9141
list-dl-none,2,4,1,24,122975,5123
list-dl-none,2,8,1,48,115708,2410
list-dl-none,2,16,1,96,117898,1228
list-dl-none,2,32,1,192,149665,779
list-dl-none,4,1,1,12,134131,11177
list-dl-none,4,2,1,24,131860,5494
list-dl-none,4,4,1,48,133832,2788
list-dl-none,4,8,1,96,157079,1636
list-dl-none,4,16,1,192,157321,819
list-dl-none,8,1,1,24,236259,9844
list-dl-none,8,2,1,48,242065,5043
list-dl-none,8,4,1,96,281670,2934
list-dl-none,8,8,1,192,274103,1427
list-dl-none,12,1,1,36,383668,10657
list-dl-none,12,4,1,144,356184,2473
list-dl-none,12,16,1,576,405456,703
list-i-m,12,32,1,1152,1767386,1534
list-d-m,12,32,1,1152,1592799,1382
list-il-m,12,32,1,1152,2064529,1792
list-dl-m,12,32,1,1152,1914697,1662
list-i-s,12,32,1,1152,1409090,1223
list-d-s,12,32,1,1152,1094922,950
list-il-s,12,32,1,1152,1722382,1495
list-dl-s,12,32,1,1152,1307074,1134
list-none-none,1,1000,1,3000,2794788,931
list-none-m,1,1000,1,3000,2847511,949
list-none-m,2,1000,1,6000,13312347,2218
list-none-m,4,1000,1,12000,43512329,3626
list-none-m,8,1000,1,24000,112313250,4679
list-none-m,12,1000,1,36000,187488503,5208
list-none-m,16,1000,1,48000,268809973,5600
list-none-m,24,1000,1,72000,441986447,6138
list-none-s,1,1000,1,3000,2801765,933
list-none-s,2,1000,1,6000,5689306,948
list-none-s,4,1000,1,12000,23163332,1930
list-none-s,8,1000,1,24000,175273829,7303
list-none-s,12,1000,1,36000,306185743,8505
list-none-s,16,1000,1,48000,303824909,6329
list-none-s,24,1000,1,72000,765272948,10628
